Num;Old_Num;MOTS_AR;MOTS_fr;DESIGNATION;DESIGNATION_fr;chairdappartenance;Sous_Chapitre
86;84;أصناف الإستراتيجية العسكرية;Catégories de la stratégie militaire;هي جزء من أصناف فن الحرب، تعكس عمليات إدراك وفهم العلاقات والروابط الحتمية والثابتة والمتكررة التي تنشأ من الظواهر وعمليات الصراع المسلح والحرب بصفة عامة وكذلك في الجزء الأكبر من الظواهر السياسية الاجتماعية المحدودة المرتبطة بالتخطيط وتفعيل الإجراءات الحكومية الهادفة إلى تفادي الحرب وتحضير الدولة ومؤسستها العسكرية لصد أي عدوان وخوض الأعمال الحربية على المستوى العملياتي الاستراتيجي.;Partie des catégories de l'art de la guerre, reflétant la perception et la compréhension des relations et liens constants et récurrents, résultant des conflits armés et de la guerre en général, elles concernent aussi la plupart des phénomènes sociopolitiques, ayant trait à la planification et à la mise en œuvre des mesures gouvernementales, visant à se prémunir de la guerre et à préparer l'État et son organisation militaire à faire face à toute agression et mener les actions de guerre au niveau stratégique opérationnel.;إستراتيجية;20
87;85;أصناف فن الحرب;Catégories de l’art de la guerre;"هي المفاهيم الرئيسية والأساسية التي تبين المميزات والصفات العامة الجوهرية للشؤون العسكرية. هناك أصناف عامة لفن الحرب متعلقة بجميع ميادين النشاط العسكري ومن بينها: الحرب، الصراع المسلح، الأعمال الحربية، أنواع وأشكال الأعمال الحربية والقوة العسكرية، القدرة العسكرية للدولة، العمليات، القتال، الهجوم، الدفاع، الهجوم المضاد ...إلخ.
يستدل بأصناف فن الحرب عند الدراسة النظرية لمختلف جوانب وظواهر الشؤون العسكرية وتحديد العلاقات فيما بينها وإجراء تحليل ومقارنة تطور فن الحرب عبر التاريخ.";"Notions principales et fondamentales qui distinguent les propriétés  et les caractéristiques générales essentielles des affaires militaires.  Les catégories générales de l'art de la guerre ont trait à l’ensemble des domaines d’activités militaires tels que: la guerre, le conflit armé, les types et les formes des actions de guerre (combat), la force militaire, la capacité militaire de l'État, l’opération, le combat, l’offensive, la défensive, la contre-offensive …etc.
On fait appel aux catégories de l’art de la guerre lors de l’étude théorique des différents aspects et phénomènes  des affaires militaires ainsi pour définir leurs relations mutuelles et pour procéder à l’analyse comparative de l'évolution de l'art de la guerre à travers l’histoire.";إستراتيجية;20
88;86;إعادة التجميع الإستراتيجي للقوات;Regroupement stratégique des forces;التحويل المنظم لتشكيلات أنواع القوات المسلحة والاحتياطات الإستراتيجية لإنشاء أو تعزيز تجمعات القوات على مسرح الأعمال الحربية أو الاتجاه الإستراتيجي، بهدف التصدي لهجوم العدو بالانتقال  للدفاع، تطوير النجاح المحقق خلال الهجوم، نقل الجهود نحو اتجاهات جديدة وغيرها.;Repositionnement organisé des formations  de forces armées de différents types et des réserves stratégiques, afin de mettre sur pied ou renforcer des groupements de forces sur le théâtre des actions de guerre ou sur la direction stratégique, et ce dans le but de, faire face à l’offensive ennemie par la défensive, de développer le succès obtenu à la suite de l’offensive, ou de transférer les efforts sur de nouvelles directions, et autres.;إستراتيجية;20
89;87;إعادة التمركز;Repositionnement;هو تبديل مكان تمركز قوى ووسائل القوات البحرية والجوية. قد يتم إعادة التمركز لتغيير تكوين القوى والوسائل في منطقة معينة أو عند ضرورة إبعاد (تقريب) هذه القوى والوسائل من منطقة الأعمال القتالية ودعم تكوين القوى والوسائل في مسارح الأعمال الحربية.;Changement du point de stationnement des forces et moyens des forces navales et aériennes. Le repositionnement s’effectue dans le but de procéder à la recomposition des forces et moyens dans une zone déterminée ou lorsque la nécessité d’éloigner (rapprocher) ces forces et moyens de la zone des actions de combat s’impose, et aussi afin de procéder au renforcement de la composition des forces et des moyens sur les théâtres des actions de guerre.;فن عملياتي;20
90;88;أعالي البحار;Haute mer;تتمثل في جميع أجزاء البحر التي لا تشملها المنطقة الاقتصادية الخالصة أو المياه الاقليمية أو المياه الداخلية لدولة ما، ولا تشملها المياه الأرخبيلية للدولة الأرخبيلية، وتخضع أعالي البحار لمبدأ حرية الإبحار فهي مفتوحة لكل الدول، ساحليةً كانت أو بدون ساحل مع احترام القانون الدولي للبحار.;Espaces maritimes qui ne sont pas compris dans la zone économique exclusive, la mer territoriale, les eaux intérieures, et les eaux archipélagiques d'un Etat archipel. La haute mer est régie par le principe de la liberté de la navigation. Elle est ouverte à tous les Etats, qu'ils soient côtiers ou non côtiers tout en respectant le droit maritime international.;قوات بحرية;20
91;89;الاعتداء العسكري;L'agression militaire;تدخل القوات المسلحة لدولة ما او لعدة دول على أراضي دولة أخرى من البر والبحر والجو بدون موافقة او ترخيص من حكومة ذلك البلد المعتدى عليه. يعتبر الاعتداء عمل عدواني ويتم كقاعدة بشكل فجائي. اختراق  حدود الدولة (مجالها الجوي او مياهها الإقليمية) أو حتى تدخل وحدات فرعية قتالية أو بعض الطائرات أو السفن لدولة أخرى من اجل القيام بالاستطلاع في دولة أخرى يصنف أيضا كاعتداء.;Incursion des forces armées d'un ou de plusieurs États sur le territoire d'un autre État par voie terrestre, aérienne ou maritime, sans le consentement ou l'autorisation du gouvernement du pays agressé. L’incursion est considérée comme un acte d’agression, généralement exécutée par surprise. La violation des frontières (eaux territoriales, espace aérien) ou même l’intervention de quelques unités élémentaires combattantes, aéronefs ou navires d’un Etat dans le but de mener des missions de reconnaissance dans un pays tiers est également considérée comme une agression.;إستراتيجية;20
92;90;إعداد الدولة للدفاع;Préparation de l'Etat à la défense;"هو منظومة الإجراءات القانونية، السياسية، الاجتماعية، الاقتصادية، العسكرية، العلمية، التقنية، المعنوية، التعبوية وغيرها من الإجراءات الأخرى المخططة والمنفذة بهدف التأمين الشامل  للقدرة الدفاعية للدولة وإعداد كل مجالاتها الحيوية للعمل في وقت الحرب. يتمثل مضمون إعداد الدولة للدفاع في: - الإعداد السياسي؛ - إعداد أجهزة الدولة للدفاع؛ - إعداد الاقتصاد الوطني؛ - إعداد القوات المسلحة؛ - إعداد الشعب؛ - إعداد أراضي الدولة للدفاع. يرتكز إعداد الدولة للدفاع على الدستور، العقيدة العسكرية، طبيعة الحرب المتوقعة، إمكانيات الدولة ومستوى المخاطر والتهديدات.";"Ensemble de mesures juridiques, politiques, sociales, économiques, militaires, scientifiques, techniques, morales, mobilisationnelles et autres, planifiées et mises en œuvre dans le but d'assurer d’une manière globale les capacités de défense d'État et de préparer tous ses secteurs vitaux pour être opérationnel en temps de guerre. 
Le contenu de la préparation d'État à la défense consiste en :
-la préparation politique;
-la préparation des organes et instances de l’Etat à défense;
-la préparation de l'économie nationale;
-la préparation des forces armées;
- la préparation des populations;
-la préparation des territoires de l'Etat pour la défense.
La Préparation de l'état à la défense repose sur la Constitution, la doctrine militaire, la nature de la guerre probable, les potentialités de l'État et le niveau des risques et menaces.";إستراتيجية;20
93;91;إعلان الحرب;Déclaration de guerre;"كان إعلان الحرب يمثل عملا سياسيا مقبولا وإجراء دبلوماسيا معترفا به وحقا من حقوق الدول وذلك منذ نشوء الدولة الوطنية،  أما في القانون الدولي العام فإن إعلان الحرب بين الدول (البلدان) ينجر عنه الاعتراف بوجود حالة من العداوة بينهم، ومثل هذا الإعلان يسمح بتسيير إدارة الأعمال الحربية بين قوات هذه الدول. في هذا الصدد يعتبر مؤتمري ""لاهاي"" الأول والثاني للسلام أول معاهدة متعددة الأطراف تنظم إعلان الحرب.
إن إنشاء عصبة الأمم سنة 1919م في أعقاب الحرب العالمية الأولى وكذا حلف ""براين كيلوغ Briand-Kellog "" المصادق عليه في باريس سنة 1928م يبين بأن القوى الكبرى العالمية كانت تبحث بجدية عن وسيلة تجنبها مجازر جديدة كالتي حصلت خلال الحرب العالمية الأولى ومع ذلك فإن هذه القوى عجزت عن تجنب الحرب العالمية الثانية التي كان من نتائجها إنشاء منظمة الأمم المتحدة  بغرض تجنب أي عدوان دولي عن طريق استخدام حق إعلان الحرب من طرف الدول وذلك في إطار المفهوم الجديد الذي   يجرم اللجوء إلى الحرب لحل المشاكل بين الدول وهو المبدأ السائد إلى يومنا هذا. إذ فقدت الحرب شرعيتها إلا بغطاء من مجلس الأمن لمنظمة الأمم المتحدة وفقا للفصل السابع من ميثاقها.";"La déclaration de guerre a toujours été un acte politique acceptable, une démarche diplomatique reconnue et un droit régalien de l’Etat et ce depuis la naissance de l’Etat-nation.
En droit public international, La déclaration de la guerre entre les Etats (pays) engendre la reconnaissance d’un état de belligérance, une telle déclaration permet la gestion et la conduite des actions de guerre entre les forces armées de ces pays. En effet, les conférences de la Haye pour la paix (première et deuxième) sont considérées comme le premier traité multilatéral qui a normalisé la déclaration de la guerre.
La société des nations (SDN) constituée en1919, juste après la première guerre mondiale ainsi que le traité de "" Briand-Kellogg "" ratifié à Paris en 1928 ont confirmés que les grandes puissances mondiales cherchaient sérieusement un moyen pour éviter de nouveaux massacres semblables à ceux de la première guerre mondiale, cependant ces puissances n’ont pu éviter la deuxième guerre mondiale dont l’un de ses résultats fut la création de l’organisation des nations unies(ONU), dans le but d’éviter toute agression internationale par le recours au droit à la guerre par les Etats, conformément au nouveau concept, valable à nos jours, incriminant le recours à la guerre pour résoudre les différends; la guerre a ainsi perdu sa légitimité, sauf si elle est menée sous couvert du conseil de sécurité de l’ONU conformément au chapitre VII de sa charte.";إستراتيجية;20
94;92;الأعمال الإستراتيجية;Actions Stratégiques;مجموع العمليات الإستراتيجية والأعمال القتالية المنفذة حسب فكرة واحدة للتشكيلات الكبرى الإستراتيجية، التشكيلات من أنواع القوات المسلحة، أصناف القوات والقوات الخاصة (التي لا تدخل في تعداد التشكيلات الكبرى الإستراتيجية) وكذا تجمعات محددة من القوات على مسرح الأعمال القتالية تحت قيادة مباشرة للقيادة العليا لتحقيق الأهداف الإستراتيجية من الحرب (العملية الإستراتيجية).;L’ensemble des opérations stratégiques et actions de combats, exécutées selon une idée unique par les grandes formations stratégiques, les formations des différents types de forces, armes et forces spéciales   (ne faisant pas partie des grandes formations  stratégiques) ainsi que par des groupements de forces données, sur le théâtre des actions de combat, relevant directement du haut commandement, dans le but d’atteindre les objectifs stratégiques de la guerre (l’opération stratégique).;إستراتيجية;20
95;93;الأعمال الحربية;Actions de guerre;"هي الاستخدام المنظم للقوات، القوى والوسائل لتنفيذ المهام العسكرية المسندة على المستوى الإستراتيجي و العملياتي.
وفقا لإمكانيات القوات المسلحة والأهداف المسطرة تتم الأعمال العسكرية في شكل حملات، عمليات، معارك، ضربات، قتالات وأعمال قتالية منتظمة وتشمل كذلك كل أنواع تحركات القوات ومجموع إجراءات تأمين الأعمال. الغرض من هذه الأعمال هو التصدي لأعمال العدو وتدميره، حماية القوات وتغطية الأغراض. في الوقت الراهن تتميز الأعمال العسكرية باختلاف أهدافها، اتساع أبعادها، مشاركة مختلف أنواع القوات المسلحة، أصناف القوات، الاستخدام الواسع لكل أنواع التسليح والعتاد الحربي، الحدة العالية، الحيوية، الاستهلاك المفرط للوسائل المادية وهي تعتبر كذلك أساس الصراعات المسلحة والحروب.";"Emploi organisé des forces et des moyens, aux niveaux stratégique et opératif, pour l’exécution des missions de combat assignées.
Selon les capacités des forces armées et les objectifs planifiés, les actions de guerre   sont exécutées sous  forme de campagnes, opérations, batailles, frappes, combats et actions de combat systématiques. Elles englobent également tous types de mouvements de forces et  l’ensemble des mesures de soutien. 
Le but des actions de guerre est de, contrer les actions de l’ennemi et le détruire, protéger les forces et assurer la couverture des objectifs. 
Les actions de guerre se caractérisent par, la diversité de leurs objectifs, l’accroissement de leurs dimensions, la participation de différents types de forces et armes, l’emploi à grande échelle de tous types d'armes et équipements de guerre, l’activité accrue et la consommation excessive des moyens matériels; ainsi les actions de guerre représentent la base des conflits armés et des guerres.";إستراتيجية;20
96;94;أعمال الحصار;Les actions de siège;هو أسلوب من أساليب الأعمال الحربية والذي من خلاله يتم الحد من وصول الدعم الخارجي العسكري واللوجستي لتجمع القوات المتواجدة تحت الحصار وكذا حضر الخروج من هذه المناطق.;Modes d’actions de  guerre  par lesquels, tout renfort extérieur militaire ou logistique des groupements de forces assiégés ou la sortie hors des zones de siège sont exclus.;إستراتيجية;20
97;95;أعمال العنف;Actes de violence;هي الأعمال العدائية التي تولد شعوراً بالظلم أو الاضطهاد، أو اتخاذ قرارات تعسفية من قبل الحكومة ينشأ عنها أعمالاً تخريبية تعبيراً عن السخط والرفض لهذه القرارات.;Actions hostiles générées par un sentiment d'injustice et  d'oppression ou par des décisions gouvernementales arbitraires, donnant lieu à des actes de vandalisme exprimant  la colère et leur rejet.;فن عملياتي;20
98;96;الأعمال الهدامة;Actions Subversives;عملية مخططة تهدف إلى تحطيم معنويات القوى الحية لأمة ما. في الميدان العسكري، أساسها الإحباط، زرع الشك، التأنيب و فقدان الثقة لدى الخصم و/أو العدو بغية إضعاف وسائله الدفاعية و الهجومية أما في المجال السياسي فهي تعتمد على تفكيك وتشتيت تلاحم و انسجام الأفراد المستهدفين.;Action planifiée visant la démoralisation des forces vives d’une nation. Au plan militaire, elle s’appuie sur le découragement, l’installation du doute, la culpabilisation et la dissolution de la confiance de l’adversaire et/ou de l’ennemi afin d’affaiblir ses moyens d’attaques et de défense. Au plan politique, elle consiste en la dissociation qui pousse à la discorde pour casser toute unité et toute cohésion entre les personnes-cibles.;فن عملياتي;20
99;97;الأغراض ذات الأولوية;Objectifs prioritaires;هي أهم الأغراض المتواجدة ضمن تجميع قوات العدو أو فوق أراضيه والتي يؤدي تدميرها في البداية إلى التأثير بشكل محسوس على نجاح العملية. تُدمَّر ( تُسكت) هذه الأغراض بالقوى والوسائل المناوبة.;"Les plus importantes cibles de l’ennemi au sein des groupements des forces ou sur son territoire, dont la destruction dès l’entame des opérations aura un impact tangible sur leurs succès. 
La destruction (neutralisation) de ces objectifs est assurée par les moyens de permanence.";إستراتيجية;20
100;98;الاقتصاد العسكري;L’économie  militaire;"هو جزء من الاقتصاد الوطني وإحدى مجالاته الأساسية الخاصة، الموجهة لتأمين الاحتياجات العسكرية للدولة. 
من الناحية النظرية يعتبر الاقتصاد العسكري جزءا من العلم العسكري ويمثل منظومة المعارف النظرية المتعلقة بقواعد، مبادئ واتجاه تطوير منظومة التأمين المادي لبناء التنظيم العسكري للدولة والتكفل به عند خوض الصراع المسلح. كما يعتبر الاقتصاد العسكري في نفس الوقت فرعا مستقلا نسبيا من العلوم الاقتصادية.";"Partie de l'économie nationale qui représente l’un de ses domaines principaux spécifiques, destinée à prendre en charge les besoins militaires de l’Etat. 
Du point de vue de la théorie, l’économie militaire est une partie de la science militaire, représentant le système de connaissances théoriques relatives aux fondements, principes et axes de développement du système de soutien matériel, pour l’édification de l’organisation militaire de l’Etat,  ainsi que sa prise en charge en cas de conflit armé. En outre, l’économie militaire est considérée comme étant une branche relativement indépendante des sciences économiques.";إستراتيجية;20
